question,hop_depth,path,relations,path_degrees,max_degree_in_path,corpus_median_degree_for_reference
Who is the father of Felix Holt's wife?,1,his mother -> job,companion_of,"[60, 38]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> harold,relative_of,"[60, 417]",417,1
Who is the father of Felix Holt's wife?,1,his mother -> harold,relative_of,"[60, 417]",417,1
Who is the father of Felix Holt's wife?,1,his mother -> his father,spouse_of,"[60, 9]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> esther,relative_of,"[60, 556]",556,1
Who is the father of Felix Holt's wife?,1,his mother -> his,relative_of,"[60, 5]",60,1
Who is the father of Felix Holt's wife?,1,his mother -> lady debarry,relative_of,"[60, 17]",60,1
Who is the father of Felix Holt's wife?,1,felix holt -> george eliot,created_by,"[84, 1]",84,1
Who is the father of Felix Holt's wife?,1,felix holt -> christian,companion_of,"[84, 137]",137,1
Who is the father of Felix Holt's wife?,1,felix holt -> christian,companion_of,"[84, 137]",137,1
Who is the father of Felix Holt's wife?,1,felix holt -> johnson,companion_of,"[84, 46]",84,1
Who is the father of Felix Holt's wife?,1,felix holt -> johnson,relative_of,"[84, 46]",84,1
Who is the father of Felix Holt's wife?,1,felix holt -> sproxton men,aware_of,"[84, 10]",84,1
Who is the father of Felix Holt's wife?,1,felix holt -> sproxton men,associated_with,"[84, 10]",84,1
Who is the father of Felix Holt's wife?,1,felix holt -> sproxton men,companion_of,"[84, 10]",84,1
Who is the father of Felix Holt's wife?,1,felix holt -> his pupils,teacher_of,"[84, 1]",84,1
Who is the father of Felix Holt's wife?,1,felix holt -> king street,located_in,"[84, 3]",84,1
Who is the father of Felix Holt's wife?,1,felix holt -> debarrys,causes,"[84, 9]",84,1
Who is the father of Felix Holt's wife?,1,felix holt -> treby park,visits,"[84, 1]",84,1
Who is the father of Felix Holt's wife?,1,felix holt -> shoulder,part_of,"[84, 1]",84,1
Who is the father of Felix Holt's wife?,1,felix holt -> jermyn,acquainted_with,"[84, 199]",199,1
Who is the father of Felix Holt's wife?,1,felix holt -> jermyn,relative_of,"[84, 199]",199,1
Who is the father of Felix Holt's wife?,1,felix holt -> dissenting preacher,acquainted_with,"[84, 3]",84,1
Who is the father of Felix Holt's wife?,1,felix holt -> mr. lyon,relative_of,"[84, 270]",270,1
Who is the father of Felix Holt's wife?,1,felix holt -> mr. lyon,companion_of,"[84, 270]",270,1
Who is the father of Felix Holt's wife?,1,felix holt -> harold transome,relative_of,"[84, 94]",94,1
Who is the father of Felix Holt's wife?,1,felix holt -> harold transome,rival_of,"[84, 94]",94,1
Who is the biological father of Mrs. Transome's son?,1,son -> my son,child_of,"[4, 4]",4,1
Who is the biological father of Mrs. Transome's son?,1,son -> my son,child_of,"[4, 4]",4,1
Who is the biological father of Mrs. Transome's son?,1,her son -> her,child_of,"[23, 49]",49,1
Who is the biological father of Mrs. Transome's son?,1,her son -> her,child_of,"[23, 49]",49,1
Who is the biological father of Mrs. Transome's son?,1,her son -> her,child_of,"[23, 49]",49,1
Who is the biological father of Mrs. Transome's son?,1,her son -> a little grandson,parent_father_of,"[23, 1]",23,1
Who is the biological father of Mrs. Transome's son?,1,her son -> she,child_of,"[23, 29]",29,1
Who is the biological father of Mrs. Transome's son?,1,her son -> harold,sibling_of,"[23, 417]",417,1
Who is the biological father of Mrs. Transome's son?,1,her son -> her,child_of,"[23, 49]",49,1
Who is the biological father of Mrs. Transome's son?,1,her son -> her,child_of,"[23, 49]",49,1
Who is the biological father of Mrs. Transome's son?,1,her son -> her,child_of,"[23, 49]",49,1
Who is the biological father of Mrs. Transome's son?,1,her son -> a little grandson,parent_father_of,"[23, 1]",23,1
Who is the biological father of Mrs. Transome's son?,1,her son -> she,child_of,"[23, 29]",29,1
Who is the biological father of Mrs. Transome's son?,1,her son -> harold,sibling_of,"[23, 417]",417,1
Who is the biological father of Mrs. Transome's son?,1,her son -> her,child_of,"[23, 49]",49,1
Who is the biological father of Mrs. Transome's son?,1,her son -> her,child_of,"[23, 49]",49,1
Who is the biological father of Mrs. Transome's son?,1,her son -> her,child_of,"[23, 49]",49,1
Who is the biological father of Mrs. Transome's son?,1,her son -> a little grandson,parent_father_of,"[23, 1]",23,1
Who is the biological father of Mrs. Transome's son?,1,her son -> she,child_of,"[23, 29]",29,1
Who is the biological father of Mrs. Transome's son?,1,her son -> harold,sibling_of,"[23, 417]",417,1
Who is the mother of Rufus Lyon's daughter's husband?,2,you -> mr. jermyn,protector_of,"[19, 40]",40,1
Who is the mother of Rufus Lyon's daughter's husband?,2,you -> mr. jermyn -> tommy,"protector_of,employer_of","[19, 40, 16]",40,1
Who is the mother of Rufus Lyon's daughter's husband?,2,you -> mr. jermyn -> mr. johnson,"protector_of,relative_of","[19, 40, 23]",40,1
Who is the mother of Rufus Lyon's daughter's husband?,2,you -> mr. jermyn -> mr. johnson,"protector_of,companion_of","[19, 40, 23]",40,1
Who is the mother of Rufus Lyon's daughter's husband?,2,you -> mr. jermyn -> transome estate,"protector_of,member_of","[19, 40, 5]",40,1
Who is the mother of Rufus Lyon's daughter's husband?,2,you -> mr. jermyn -> his office,"protector_of,employer_of","[19, 40, 1]",40,1
Who is the mother of Rufus Lyon's daughter's husband?,2,you -> mr. jermyn -> christian,"protector_of,enemy_of","[19, 40, 137]",137,1
Who is the mother of Rufus Lyon's daughter's husband?,2,you -> mr. jermyn -> holt,"protector_of,employer_of","[19, 40, 10]",40,1
Who is the mother of Rufus Lyon's daughter's husband?,2,you -> mr. jermyn -> mrs. transome,"protector_of,acquaintance_of","[19, 40, 206]",206,1
Who is the mother of Rufus Lyon's daughter's husband?,2,you -> mr. jermyn -> mrs. transome,"protector_of,companion_of","[19, 40, 206]",206,1
Who is the mother of Rufus Lyon's daughter's husband?,2,you -> mr. jermyn -> harold,"protector_of,enemy_of","[19, 40, 417]",417,1
Who is the mother of Rufus Lyon's daughter's husband?,2,you -> mr. jermyn -> treby,"protector_of,lived_in","[19, 40, 25]",40,1
Who is the mother of Rufus Lyon's daughter's husband?,2,you -> mr. jermyn -> treby,"protector_of,lives_in","[19, 40, 25]",40,1
Who is the mother of Rufus Lyon's daughter's husband?,2,you -> mr. jermyn -> abroad,"protector_of,lives_in","[19, 40, 1]",40,1
Who is the mother of Rufus Lyon's daughter's husband?,2,you -> mr. jermyn -> miss louisa jermyn,"protector_of,relative_of","[19, 40, 3]",40,1
Who is the mother of Rufus Lyon's daughter's husband?,2,you -> mr. jermyn -> miss jermyn,"protector_of,relative_of","[19, 40, 5]",40,1
Who is the mother of Rufus Lyon's daughter's husband?,2,you -> mr. jermyn -> harold transome,"protector_of,rival_of","[19, 40, 94]",94,1
Who is the mother of Rufus Lyon's daughter's husband?,2,you -> mr. jermyn -> harold transome,"protector_of,rival_of","[19, 40, 94]",94,1
Who is the mother of Rufus Lyon's daughter's husband?,2,you -> mr. jermyn -> harold transome,"protector_of,acquainted_with","[19, 40, 94]",94,1
Who is the mother of Rufus Lyon's daughter's husband?,2,you -> mr. jermyn -> duffield,"protector_of,lives_in","[19, 40, 13]",40,1
Who is the mother of Rufus Lyon's daughter's husband?,2,your -> father,child_of,"[2, 47]",47,1
Who is the mother of Rufus Lyon's daughter's husband?,2,your -> father -> mother,"child_of,spouse_of","[2, 47, 30]",47,1
Who is the mother of Rufus Lyon's daughter's husband?,2,your -> father -> mother,"child_of,spouse_of","[2, 47, 30]",47,1
Who is the mother of Rufus Lyon's daughter's husband?,2,your -> father -> esther,"child_of,parent_father_of","[2, 47, 556]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,your -> father -> my,"child_of,parent_father_of","[2, 47, 7]",47,1
Who is the mother of Rufus Lyon's daughter's husband?,2,your -> father -> the old man,"child_of,parent_father_of","[2, 47, 2]",47,1
Who is the mother of Rufus Lyon's daughter's husband?,2,your -> father -> mr. holt,"child_of,companion_of","[2, 47, 26]",47,1
Who is the mother of Rufus Lyon's daughter's husband?,2,your -> father -> father's elder brother,"child_of,sibling_of","[2, 47, 2]",47,1
Who is the mother of Rufus Lyon's daughter's husband?,2,your -> father -> elder brother,"child_of,sibling_of","[2, 47, 1]",47,1
Who is the mother of Rufus Lyon's daughter's husband?,2,your -> father -> lyddy,"child_of,relative_of","[2, 47, 33]",47,1
Who is the mother of Rufus Lyon's daughter's husband?,2,her -> denner,companion_of,"[49, 36]",49,1
Who is the mother of Rufus Lyon's daughter's husband?,2,her -> denner -> mrs. transome,"companion_of,companion_of","[49, 36, 206]",206,1
Who is the mother of Rufus Lyon's daughter's husband?,2,her -> denner -> mrs. transome,"companion_of,companion_of","[49, 36, 206]",206,1
Who is the mother of Rufus Lyon's daughter's husband?,2,her -> denner -> mrs. transome,"companion_of,companion_of","[49, 36, 206]",206,1
Who is the mother of Rufus Lyon's daughter's husband?,2,her -> denner -> mrs. transome,"companion_of,companion_of","[49, 36, 206]",206,1
Who is the mother of Rufus Lyon's daughter's husband?,2,her -> denner -> mrs. transome,"companion_of,companion_of","[49, 36, 206]",206,1
Who is the mother of Rufus Lyon's daughter's husband?,2,her -> denner -> mrs. transome,"companion_of,companion_of","[49, 36, 206]",206,1
Who is the mother of Rufus Lyon's daughter's husband?,2,her -> denner -> mrs. transome,"companion_of,companion_of","[49, 36, 206]",206,1
Who is the mother of Rufus Lyon's daughter's husband?,2,her -> denner -> mrs. transome,"companion_of,companion_of","[49, 36, 206]",206,1
Who is the mother of Rufus Lyon's daughter's husband?,2,her -> denner -> mrs. transome,"companion_of,companion_of","[49, 36, 206]",206,1
Who is the mother of Rufus Lyon's daughter's husband?,2,her -> denner -> mrs. transome,"companion_of,companion_of","[49, 36, 206]",206,1
Who is the mother of Rufus Lyon's daughter's husband?,2,her -> denner -> mrs. transome,"companion_of,companion_of","[49, 36, 206]",206,1
Who is the mother of Rufus Lyon's daughter's husband?,2,her -> denner -> mrs. transome,"companion_of,companion_of","[49, 36, 206]",206,1
Who is the mother of Rufus Lyon's daughter's husband?,2,her -> denner -> he,"companion_of,lover_of","[49, 36, 44]",49,1
Who is the mother of Rufus Lyon's daughter's husband?,2,her -> denner -> her mistress,"companion_of,companion_of","[49, 36, 3]",49,1
Who is the mother of Rufus Lyon's daughter's husband?,2,her -> denner -> her mistress,"companion_of,companion_of","[49, 36, 3]",49,1
Who is the mother of Rufus Lyon's daughter's husband?,2,her -> denner -> her mistress,"companion_of,companion_of","[49, 36, 3]",49,1
Who is the mother of Rufus Lyon's daughter's husband?,2,her -> denner -> madam,"companion_of,companion_of","[49, 36, 4]",49,1
Who is the mother of Rufus Lyon's daughter's husband?,2,her -> denner -> madam,"companion_of,companion_of","[49, 36, 4]",49,1
Who is the mother of Rufus Lyon's daughter's husband?,2,her -> denner -> somebody,"companion_of,companion_of","[49, 36, 1]",49,1
Who is the mother of Rufus Lyon's daughter's husband?,2,rufus -> mistress holt,teacher_of,"[4, 13]",13,1
Who is the mother of Rufus Lyon's daughter's husband?,2,rufus -> mistress holt -> lyddy,"teacher_of,relative_of","[4, 13, 33]",33,1
Who is the mother of Rufus Lyon's daughter's husband?,2,rufus -> mistress holt -> mrs. holt,"teacher_of,relative_of","[4, 13, 98]",98,1
Who is the mother of Rufus Lyon's daughter's husband?,2,rufus -> mistress holt -> my own son,"teacher_of,parent_mother_of","[4, 13, 1]",13,1
Who is the mother of Rufus Lyon's daughter's husband?,2,rufus -> mistress holt -> your son,"teacher_of,parent_mother_of","[4, 13, 8]",13,1
Who is the mother of Rufus Lyon's daughter's husband?,2,rufus -> mistress holt -> your son,"teacher_of,parent_mother_of","[4, 13, 8]",13,1
Who is the mother of Rufus Lyon's daughter's husband?,2,rufus -> mistress holt -> your late husband,"teacher_of,spouse_of","[4, 13, 2]",13,1
Who is the mother of Rufus Lyon's daughter's husband?,2,rufus -> young man,mentor_of,"[4, 4]",4,1
Who is the mother of Rufus Lyon's daughter's husband?,2,rufus -> young man -> mother,"mentor_of,child_of","[4, 4, 30]",30,1
Who is the mother of Rufus Lyon's daughter's husband?,2,rufus -> young man -> his mother,"mentor_of,child_of","[4, 4, 60]",60,1
Who is the mother of Rufus Lyon's daughter's husband?,2,rufus -> mr. lyon -> esther,"companion_of,parent_father_of","[4, 270, 556]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,rufus -> mr. lyon -> esther,"companion_of,adopted_by","[4, 270, 556]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,rufus -> mr. lyon -> esther,"companion_of,parent_father_of","[4, 270, 556]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,rufus -> mr. lyon -> esther,"companion_of,companion_of","[4, 270, 556]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,rufus -> mr. lyon -> esther,"companion_of,spouse_of","[4, 270, 556]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,esther -> mr. lyon,child_of,"[556, 270]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,esther -> mr. lyon -> christian,"child_of,companion_of","[556, 270, 137]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,esther -> mr. lyon -> christian,"child_of,distrusted","[556, 270, 137]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,esther -> mr. lyon -> christian,"child_of,companion_of","[556, 270, 137]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,esther -> mr. lyon -> christian,"child_of,companion_of","[556, 270, 137]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,esther -> mr. lyon -> christian,"child_of,companion_of","[556, 270, 137]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,esther -> mr. lyon -> christian,"child_of,rival_of","[556, 270, 137]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,esther -> mr. lyon -> his flock,"child_of,leader_of","[556, 270, 2]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,esther -> mr. lyon -> his flock,"child_of,leader_of","[556, 270, 2]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,esther -> mr. lyon -> radical,"child_of,believes_in","[556, 270, 1]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,esther -> mr. lyon -> felix,"child_of,mentor_of","[556, 270, 364]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,esther -> mr. lyon -> felix,"child_of,mentor_of","[556, 270, 364]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,esther -> mr. lyon -> felix,"child_of,mentor_of","[556, 270, 364]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,esther -> mr. lyon -> felix,"child_of,protector_of","[556, 270, 364]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,esther -> mr. lyon -> felix,"child_of,companion_of","[556, 270, 364]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,esther -> mr. lyon -> felix,"child_of,parent_father_of","[556, 270, 364]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,esther -> mr. lyon -> felix,"child_of,companion_of","[556, 270, 364]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,esther -> mr. lyon -> felix,"child_of,relative_of","[556, 270, 364]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,esther -> mr. lyon -> felix,"child_of,companion_of","[556, 270, 364]",556,1
Who is the mother of Rufus Lyon's daughter's husband?,2,esther -> mr. lyon -> felix,"child_of,companion_of","[556, 270, 364]",556,1
Who is the father of Mrs. Holt's son's wife?,2,her son -> her,child_of,"[23, 49]",49,1
Who is the father of Mrs. Holt's son's wife?,2,her son -> her -> denner,"child_of,companion_of","[23, 49, 36]",49,1
Who is the father of Mrs. Holt's son's wife?,2,her son -> her -> her father,"child_of,child_of","[23, 49, 65]",65,1
Who is the father of Mrs. Holt's son's wife?,2,her son -> her -> her father,"child_of,child_of","[23, 49, 65]",65,1
Who is the father of Mrs. Holt's son's wife?,2,her son -> her -> her father,"child_of,child_of","[23, 49, 65]",65,1
Who is the father of Mrs. Holt's son's wife?,2,her son -> her -> her father,"child_of,child_of","[23, 49, 65]",65,1
Who is the father of Mrs. Holt's son's wife?,2,her son -> her -> this son,"child_of,parent_mother_of","[23, 49, 1]",49,1
Who is the father of Mrs. Holt's son's wife?,2,her son -> her -> her friends,"child_of,relative_of","[23, 49, 1]",49,1
Who is the father of Mrs. Holt's son's wife?,2,her son -> her -> her baby,"child_of,parent_mother_of","[23, 49, 2]",49,1
Who is the father of Mrs. Holt's son's wife?,2,her son -> her -> her husband,"child_of,spouse_of","[23, 49, 14]",49,1
Who is the father of Mrs. Holt's son's wife?,2,her son -> her -> her husband,"child_of,spouse_of","[23, 49, 14]",49,1
Who is the father of Mrs. Holt's son's wife?,2,her son -> her -> her imbecile husband,"child_of,spouse_of","[23, 49, 1]",49,1
Who is the father of Mrs. Holt's son's wife?,2,her son -> her -> her graceless eldest-born,"child_of,parent_mother_of","[23, 49, 1]",49,1
Who is the father of Mrs. Holt's son's wife?,2,her son -> her -> her mother,"child_of,child_of","[23, 49, 7]",49,1
Who is the father of Mrs. Holt's son's wife?,2,her son -> her -> harold,"child_of,parent_mother_of","[23, 49, 417]",417,1
Who is the father of Mrs. Holt's son's wife?,2,her son -> her -> felix,"child_of,companion_of","[23, 49, 364]",364,1
Who is the father of Mrs. Holt's son's wife?,2,her son -> her -> felix,"child_of,companion_of","[23, 49, 364]",364,1
Who is the father of Mrs. Holt's son's wife?,2,her son -> her -> felix,"child_of,companion_of","[23, 49, 364]",364,1
Who is the father of Mrs. Holt's son's wife?,2,her son -> her -> harold,"child_of,companion_of","[23, 49, 417]",417,1
Who is the father of Mrs. Holt's son's wife?,2,her son -> her -> harold,"child_of,companion_of","[23, 49, 417]",417,1
Who is the father of Mrs. Holt's son's wife?,2,his mother -> harold,parent_mother_of,"[60, 417]",417,1
Who is the father of Mrs. Holt's son's wife?,2,his mother -> harold -> mrs. transome,"parent_mother_of,child_of","[60, 417, 206]",417,1
Who is the father of Mrs. Holt's son's wife?,2,his mother -> harold -> mrs. transome,"parent_mother_of,child_of","[60, 417, 206]",417,1
Who is the father of Mrs. Holt's son's wife?,2,his mother -> harold -> mrs. transome,"parent_mother_of,parent_mother_of","[60, 417, 206]",417,1
Who is the father of Mrs. Holt's son's wife?,2,his mother -> harold -> mrs. transome,"parent_mother_of,child_of","[60, 417, 206]",417,1
Who is the father of Mrs. Holt's son's wife?,2,his mother -> harold -> mrs. transome,"parent_mother_of,relative_of","[60, 417, 206]",417,1
Who is the father of Mrs. Holt's son's wife?,2,his mother -> harold -> mrs. transome,"parent_mother_of,child_of","[60, 417, 206]",417,1
Who is the father of Mrs. Holt's son's wife?,2,his mother -> harold -> mrs. transome,"parent_mother_of,relative_of","[60, 417, 206]",417,1
Who is the father of Mrs. Holt's son's wife?,2,his mother -> harold -> mrs. transome,"parent_mother_of,child_of","[60, 417, 206]",417,1
Who is the father of Mrs. Holt's son's wife?,2,his mother -> harold -> mrs. transome,"parent_mother_of,parent_mother_of","[60, 417, 206]",417,1
Who is the father of Mrs. Holt's son's wife?,2,his mother -> harold -> mrs. transome,"parent_mother_of,child_of","[60, 417, 206]",417,1
Who is the father of Mrs. Holt's son's wife?,2,his mother -> harold -> mrs. transome,"parent_mother_of,child_of","[60, 417, 206]",417,1
Who is the father of Mrs. Holt's son's wife?,2,his mother -> harold -> mrs. transome,"parent_mother_of,relative_of","[60, 417, 206]",417,1
Who is the father of Mrs. Holt's son's wife?,2,his mother -> harold -> mrs. transome,"parent_mother_of,relative_of","[60, 417, 206]",417,1
Who is the father of Mrs. Holt's son's wife?,2,his mother -> harold -> mrs. transome,"parent_mother_of,relative_of","[60, 417, 206]",417,1
Who is the father of Mrs. Holt's son's wife?,2,his mother -> harold -> mrs. transome,"parent_mother_of,child_of","[60, 417, 206]",417,1
Who is the father of Mrs. Holt's son's wife?,2,his mother -> harold -> mrs. transome,"parent_mother_of,child_of","[60, 417, 206]",417,1
Who is the father of Mrs. Holt's son's wife?,2,his mother -> harold -> mrs. transome,"parent_mother_of,child_of","[60, 417, 206]",417,1
Who is the father of Mrs. Holt's son's wife?,2,his mother -> harold -> mrs. transome,"parent_mother_of,child_of","[60, 417, 206]",417,1
Who is the father of Mrs. Holt's son's wife?,2,his mother -> harold -> mrs. transome,"parent_mother_of,relative_of","[60, 417, 206]",417,1
Who is the father of Mrs. Holt's son's wife?,2,her husband -> mary,spouse_of,"[14, 4]",14,1
Who is the father of Mrs. Holt's son's wife?,2,her husband -> mary -> her own son,"spouse_of,parent_mother_of","[14, 4, 3]",14,1
Who is the father of Mrs. Holt's son's wife?,2,her husband -> hanoverian army,member_of,"[14, 2]",14,1
Who is the father of Mrs. Holt's son's wife?,2,her husband -> annette,lover_of,"[14, 32]",32,1
Who is the father of Mrs. Holt's son's wife?,2,her husband -> annette -> her baby,"lover_of,protector_of","[14, 32, 2]",32,1
Who is the father of Mrs. Holt's son's wife?,2,her husband -> annette -> mr. lyon,"lover_of,companion_of","[14, 32, 270]",270,1
Who is the father of Mrs. Holt's son's wife?,2,her husband -> annette -> mr. lyon,"lover_of,spouse_of","[14, 32, 270]",270,1
Who is the father of Mrs. Holt's son's wife?,2,her husband -> annette -> mr. lyon,"lover_of,companion_of","[14, 32, 270]",270,1
Who is the father of Mrs. Holt's son's wife?,2,her husband -> annette -> mr. lyon,"lover_of,companion_of","[14, 32, 270]",270,1
Who is the father of Mrs. Holt's son's wife?,2,her husband -> annette -> mr. lyon,"lover_of,companion_of","[14, 32, 270]",270,1
Who is the father of Mrs. Holt's son's wife?,2,her husband -> annette -> baby,"lover_of,parent_mother_of","[14, 32, 3]",32,1
Who is the father of Mrs. Holt's son's wife?,2,her husband -> annette -> the child,"lover_of,protector_of","[14, 32, 7]",32,1
Who is the father of Mrs. Holt's son's wife?,2,her husband -> annette -> the child,"lover_of,parent_mother_of","[14, 32, 7]",32,1
Who is the father of Mrs. Holt's son's wife?,2,her husband -> annette -> the sick man,"lover_of,lover_of","[14, 32, 1]",32,1
Who is the father of Mrs. Holt's son's wife?,2,her husband -> annette -> her child,"lover_of,parent_mother_of","[14, 32, 2]",32,1
Who is the father of Mrs. Holt's son's wife?,2,her husband -> annette -> esther,"lover_of,parent_mother_of","[14, 32, 556]",556,1
Who is the father of Mrs. Holt's son's wife?,2,her husband -> annette -> esther,"lover_of,parent_mother_of","[14, 32, 556]",556,1
Who is the father of Mrs. Holt's son's wife?,2,her husband -> annette -> esther,"lover_of,sibling_of","[14, 32, 556]",556,1
Who is the father of Mrs. Holt's son's wife?,2,her husband -> annette -> this man,"lover_of,spouse_of","[14, 32, 3]",32,1
Who is the father of Mrs. Holt's son's wife?,2,her husband -> annette -> maurice christian,"lover_of,spouse_of","[14, 32, 3]",32,1
Who is the father of Mrs. Holt's son's wife?,2,your son -> your late husband,child_of,"[8, 2]",8,1
Who is the father of Mrs. Holt's son's wife?,2,your son -> your late husband -> mistress holt,"child_of,spouse_of","[8, 2, 13]",13,1
Who is the father of Mrs. Holt's son's wife?,2,your son -> his poor mother,child_of,"[8, 3]",8,1
Who is the father of Mrs. Holt's son's wife?,2,your son -> his poor mother -> his own father's lawful child,"child_of,spouse_of","[8, 3, 2]",8,1
Who is the father of Mrs. Holt's son's wife?,2,mr. holt -> miss,friend_of,"[26, 2]",26,1
Who is the father of Mrs. Holt's son's wife?,2,mr. holt -> miss -> lyddy,"friend_of,companion_of","[26, 2, 33]",33,1
Who is the father of Mrs. Holt's son's wife?,2,mr. holt -> mr. lyon,member_of,"[26, 270]",270,1
Who is the father of Mrs. Holt's son's wife?,2,mr. holt -> mr. lyon -> esther,"member_of,parent_father_of","[26, 270, 556]",556,1
Who is the father of Mrs. Holt's son's wife?,2,mr. holt -> mr. lyon -> esther,"member_of,adopted_by","[26, 270, 556]",556,1
Who is the father of Mrs. Holt's son's wife?,2,mr. holt -> mr. lyon -> esther,"member_of,parent_father_of","[26, 270, 556]",556,1
Who is the father of Mrs. Holt's son's wife?,2,mr. holt -> mr. lyon -> esther,"member_of,companion_of","[26, 270, 556]",556,1
Who is the father of Mrs. Holt's son's wife?,2,mr. holt -> mr. lyon -> esther,"member_of,spouse_of","[26, 270, 556]",556,1
Who is the father of Mrs. Holt's son's wife?,2,mr. holt -> mr. lyon -> esther,"member_of,friend_of","[26, 270, 556]",556,1
Who is the father of Mrs. Holt's son's wife?,2,mr. holt -> mr. lyon -> esther,"member_of,parent_father_of","[26, 270, 556]",556,1
